phrase,hot/cold
A bone-chilling breeze in the air,cold
The air is icy,cold
A frostbitten morning breeze,cold
A bone-chilling breeze,cold
The air is chilled,cold
An ice-cold morning,cold
The ground is ice-cold and biting,cold
The air is freezing and biting,cold
A deep frost in the morning,cold
The ground is frostbite cold and harsh,cold
A cool and crisp day,cold
A freezing morning,cold
The air is arctic,cold
A biting wind in the morning,cold
A mild frost,cold
The air is frostbitten and biting,cold
A biting morning breeze in the air,cold
A brisk chill,cold
A mild and gentle morning,cold
The air is biting cold,cold
A brisk evening,cold
A crisp autumn day,cold
A wintry chill,cold
A frostbitten morning breeze in the morning,cold
The frost is deep,cold
A bone-chilling breeze in the morning air,cold
A bone-chilling breeze in the morning,cold
Icy temperatures,cold
The ground is frostbite cold and piercing,cold
A soft frost,cold
A slight chill,cold
An arctic breeze,cold
The air is frostbitten and sharp,cold
A biting morning frost in the air,cold
A mild and refreshing breeze,cold
The frost is deep and biting,cold
The frost is brutal,cold
A biting chill in the morning,cold
A cool and light touch,cold
The frost is sharp and biting,cold
A biting morning frost,cold
The air is brutally cold,cold
The ground is icy cold,cold
Arctic air,cold
A cool wind,cold
A gentle coolness,cold
The cold is severe,cold
A freezing breeze in the morning breeze in the air,cold
The air is glacially cold and piercing,cold
The ground is ice-cold and biting,cold
The ground is ice-cold and biting,cold
The ground is frostbitten,cold
The air is freezing,cold
The air is deep frozen,cold
The frost is piercing,cold
A freezing breeze,cold
A bone-numbing morning,cold
A sharp bite in the air,cold
A sharp chill in the air,cold
A refreshing breeze,cold
The air is numbingly cold,cold
A glacial wind in the air,cold
A glacial frost,cold
A glacial wind,cold
The ground is ice-cold and piercing,cold
A sharp chill in the morning breeze,cold
A frostbitten wind in the air,cold
A nippy evening,cold
The cold is piercing and sharp,cold
The ground is frostbite cold,cold
A frostbitten morning,cold
A freezing morning breeze in the morning,cold
The cold is intense,cold
A cool breeze in the air,cold
The air is frostily cold and piercing,cold
The frost is sharp and piercing,cold
The cold is brutal,cold
The air is freezing cold,cold
The ground is ice cold,cold
The ground is bone-chilling,cold
The ground is brutally cold and biting,cold
The frost is biting,cold
A frozen breeze,cold
The ground is frostbite cold and brutal,cold
A gentle nip in the air,cold
A refreshing chill,cold
A slight nip,cold
The air is freezing and piercing,cold
The ground is brutally cold and sharp,cold
The air is freezing and biting,cold
A frosty morning breeze in the morning air,cold
The ground is frigidly cold,cold
A bone-numbing frost,cold
A freezing touch in the air,cold
The air is frostbitten and biting,cold
A crisp frost,cold
A mild breeze,cold
A bone-chilling frost in the morning,cold
A cool night,cold
A freezing morning breeze in the air,cold
The air is frigid,cold
The ground is deep frozen cold,cold
Bone-chilling cold,cold
The ground is ice-cold,cold
A frostbitten wind,cold
A biting wind in the morning breeze,cold
The ground is frigid,cold
A frosty breeze,cold
A light frost,cold
The ground is icy,cold
A cool and soft breeze,cold
The ground is ice-cold and brutal,cold
The chill is harsh,cold
A bone-chilling frost,cold
A freezing wind in the morning,cold
The cold is sharp and biting,cold
A bone-chilling wind in the morning,cold
The air is biting and sharp,cold
An ice-cold breeze,cold
A biting chill in the morning breeze,cold
The air is biting,cold
A cool autumn morning,cold
The frost is sharp,cold
The air is piercingly cold,cold
A biting chill in the morning air in the air,cold
A gentle chill,cold
A biting wind in the morning air,cold
An ice-cold wind,cold
A cool and refreshing night,cold
The air is glacially cold and biting,cold
